YEAR,HR01,HR02,HR03,HR04,HR05,HR06,HR07,HR08,HR09,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24
01-01-22,93,91,90,87,87,87,90,91,83,83,81,80,95,87,81,81,82,84,84,86,86,87,87,87
02-01-22,87,89,89,91,92,95,95,91,78,72,72,68,68,66,70,70,72,76,77,79,78,78,78,78
03-01-22,80,84,86,86,86,87,92,92,82,67,61,62,60,62,63,65,67,70,73,77,77,77,77,75
04-01-22,76,76,78,80,81,84,89,89,65,61,59,55,57,58,60,61,63,65,65,67,69,71,77,82
05-01-22,85,87,89,90,91,89,89,87,77,71,71,70,71,71,69,71,72,74,77,80,83,83,86,87
06-01-22,89,91,93,93,93,95,95,95,82,76,67,67,62,62,62,66,66,77,81,84,86,87,87,90
07-01-22,91,94,94,94,94,94,94,94,84,79,70,68,70,70,71,73,74,76,78,80,82,82,83,83
08-01-22,82,84,86,87,92,94,95,95,78,70,73,74,73,69,65,69,72,78,81,83,84,84,85,85
09-01-22,88,90,90,91,93,95,95,96,80,77,71,69,67,66,69,69,73,79,83,87,89,91,94,95
10-01-22,95,95,97,97,97,97,99,99,81,71,66,64,64,65,65,67,73,78,82,83,87,89,89,92
11-01-22,95,95,94,95,95,95,95,89,82,75,67,63,64,64,64,67,71,77,81,82,85,88,89,89
13-01-22,84,86,86,88,90,91,90,82,77,69,67,65,61,62,67,67,73,77,80,80,81,82,83,84
14-01-22,85,85,87,89,97,97,97,97,90,64,65,69,66,66,68,71,79,83,86,89,89,89,89,89
15-01-22,90,91,93,94,94,97,97,99,89,74,72,70,70,69,70,73,74,79,84,85,85,86,87,88
16-01-22,88,88,88,90,91,91,91,92,83,77,71,69,71,70,72,72,75,78,81,81,80,81,81,81
18-01-22,99,99,99,99,99,99,99,99,93,83,75,74,67,66,65,68,71,73,77,83,85,87,89,91
19-01-22,93,94,95,95,95,95,95,95,87,76,67,63,62,62,59,46,55,62,69,76,83,85,87,89
20-01-22,89,91,93,94,95,95,95,95,84,71,64,61,58,58,60,61,65,72,78,81,83,86,86,88
21-01-22,92,92,94,94,95,99,99,99,80,65,58,55,56,57,60,63,69,76,80,84,86,89,91,92
22-01-22,93,93,93,93,93,93,93,91,86,77,67,69,70,71,71,72,78,84,87,89,90,90,91,93
23-01-22,93,95,96,96,96,97,97,97,83,73,63,56,55,67,65,68,79,82,85,86,86,87,87,86
24-01-22,89,89,89,90,81,82,83,83,83,83,81,81,79,70,69,73,72,74,78,83,87,92,92,93
25-01-22,94,94,95,95,95,95,95,95,85,67,61,67,65,63,64,65,66,68,75,73,77,80,84,83
26-01-22,83,85,86,88,88,89,91,92,81,65,63,60,63,64,67,67,71,75,79,79,79,81,81,81
27-01-22,82,86,86,88,89,95,95,96,76,67,63,61,61,60,57,58,65,72,77,77,79,80,80,81
28-01-22,81,81,85,83,83,82,79,77,72,70,69,67,64,60,62,62,67,71,74,75,76,76,75,75
29-01-22,77,77,77,77,79,81,86,86,86,76,69,67,68,67,69,71,73,77,82,83,84,81,81,80
30-01-22,79,80,80,80,81,82,84,87,83,71,69,67,67,65,66,66,67,71,74,76,76,79,84,85
31-01-22,87,87,91,91,92,93,93,94,85,77,70,67,65,65,65,66,68,70,74,77,79,80,81,83
